peak_radius,damping,nullspace_gain,rms_position_error,rms_orientation_error,final_position_error,peak_dq,clipped_steps,peak_condition_number,max_distance_from_home,diverged,final_joint1,final_joint2,final_joint3,final_joint4,final_joint5,final_joint6,final_joint7
0.71,0.0001,0.0,0.0748654,0.128902,0.00655572,25.4643,99,92473.5,1.50607,0,0.000653842,0.00877503,-0.000654552,-1.57386,-0.00033366,1.56859,-0.785302
0.71,0.0001,2.0,0.0750166,0.128709,0.00655565,19.8804,99,124501.0,1.50239,0,1.63086e-06,0.00877489,-1.30968e-06,-1.57386,-0.000335125,1.56859,-0.785301
0.71,0.0001,5.0,0.0802017,0.136152,0.00655566,25.64,110,41278.5,1.50631,0,1.6077e-06,0.00877488,-1.28675e-06,-1.57386,-0.000335125,1.56859,-0.785301
0.71,0.0003,0.0,0.0755488,0.129469,0.00655566,11.9647,97,68355.2,1.50445,0,9.83948e-05,0.00877493,-9.82274e-05,-1.57386,-0.000334906,1.56859,-0.785302
0.71,0.0003,2.0,0.0801504,0.136956,0.00655566,11.502,108,51226.3,1.51137,0,1.63084e-06,0.00877486,-1.30968e-06,-1.57386,-0.000335125,1.56859,-0.785301
0.71,0.0003,5.0,0.0733143,0.125428,0.00655566,13.2106,117,151859.0,1.49504,0,1.60765e-06,0.00877479,-1.28675e-06,-1.57386,-0.000335125,1.56859,-0.785301
0.71,0.0005,0.0,0.180437,0.674101,0.430161,6.63984,1356,3697140.0,2.67299,0,0.000471992,1.74731,0.00632737,-0.0677276,0.00307807,0.218476,-0.784612
0.71,0.0005,2.0,0.0727988,0.125511,0.00655566,8.37824,113,870380.0,1.50183,0,1.63081e-06,0.0087748,-1.30969e-06,-1.57386,-0.000335125,1.56859,-0.785301
0.71,0.0005,5.0,0.0682191,0.1185,0.00655568,9.26621,99,86959.3,1.49941,0,1.60756e-06,0.00877461,-1.28677e-06,-1.57386,-0.000335124,1.56859,-0.785301
0.71,0.001,0.0,0.178058,0.672114,0.430168,3.54395,1192,408719.0,2.67292,0,0.000460773,1.74728,0.00641491,-0.0677294,0.00343024,0.218584,-0.784104
0.71,0.001,2.0,0.0467101,0.0851614,0.00655569,4.50028,107,580919.0,1.48069,0,1.63066e-06,0.00877454,-1.30972e-06,-1.57386,-0.000335125,1.56859,-0.785301
0.71,0.001,5.0,0.030082,0.0566594,0.00655576,2.05196,30,2642.84,1.43681,0,1.60715e-06,0.00877376,-1.28686e-06,-1.57386,-0.000335123,1.56859,-0.785301
