damping,step,time,joint_name,limit_side,overshoot_rad
0.0005,2381,4.762,joint4,upper,1.12443
0.0005,2382,4.764,joint4,upper,1.12471
0.0005,2383,4.766,joint4,upper,1.125
0.0005,2384,4.768,joint4,upper,1.1253
0.0005,2385,4.77,joint4,upper,1.12559
0.0005,2386,4.772,joint4,upper,1.12588
0.0005,2387,4.774,joint4,upper,1.12618
0.0005,2388,4.776,joint4,upper,1.12648
0.0005,2389,4.778,joint4,upper,1.12678
0.0005,2390,4.78,joint4,upper,1.12709
0.0005,2391,4.782,joint4,upper,1.12739
0.0005,2392,4.784,joint4,upper,1.12771
0.0005,2393,4.786,joint4,upper,1.12802
0.0005,2394,4.788,joint4,upper,1.12835
0.0005,2395,4.79,joint4,upper,1.12867
0.0005,2396,4.792,joint4,upper,1.129
0.0005,2397,4.794,joint4,upper,1.12934
0.0005,2398,4.796,joint4,upper,1.12968
0.0005,2399,4.798,joint4,upper,1.13003
0.0005,2400,4.8,joint4,upper,1.13039
0.0005,2401,4.802,joint4,upper,1.13075
0.0005,2402,4.804,joint4,upper,1.13112
0.0005,2403,4.806,joint4,upper,1.13149
0.0005,2404,4.808,joint4,upper,1.13188
0.0005,2405,4.81,joint4,upper,1.13227
0.0005,2406,4.812,joint4,upper,1.13266
0.0005,2407,4.814,joint4,upper,1.13307
0.0005,2408,4.816,joint4,upper,1.13348
0.0005,2409,4.818,joint4,upper,1.1339
0.0005,2410,4.82,joint4,upper,1.13433
0.0005,2411,4.822,joint4,upper,1.13477
0.0005,2412,4.824,joint4,upper,1.13522
0.0005,2413,4.826,joint4,upper,1.13568
0.0005,2414,4.828,joint4,upper,1.13614
0.0005,2415,4.83,joint4,upper,1.13661
0.0005,2416,4.832,joint4,upper,1.1371
0.0005,2417,4.834,joint4,upper,1.13759
0.0005,2418,4.836,joint4,upper,1.13809
0.0005,2419,4.838,joint4,upper,1.1386
0.0005,2420,4.84,joint4,upper,1.13912
