damping,nullspace_gain,step,time,joint1,joint2,joint3,joint4,joint5,joint6,joint7,position_error,condition_number,distance_from_home,any_clipped
0.0003,0.0,151,0.302,-7.502e-07,0.0114199,1.82758e-07,-1.5693,-0.000320912,1.56726,-0.785302,0.00694384,12.6695,0.0120501,0
0.0003,0.0,152,0.304,-7.53582e-07,0.0115122,1.96714e-07,-1.56918,-0.000321211,1.56722,-0.785302,0.00695516,12.6708,0.0121655,0
0.0003,0.0,153,0.306,-7.57223e-07,0.0116053,2.10606e-07,-1.56906,-0.000321504,1.56717,-0.785302,0.00696638,12.6721,0.0122827,0
0.0003,0.0,154,0.308,-7.61126e-07,0.011699,2.24432e-07,-1.56893,-0.000321791,1.56713,-0.785302,0.00697749,12.6734,0.0124018,0
0.0003,0.0,155,0.31,-7.65292e-07,0.0117935,2.38188e-07,-1.56881,-0.000322072,1.56709,-0.785302,0.00698849,12.6748,0.0125229,0
0.0003,0.0,156,0.312,-7.69726e-07,0.0118886,2.51871e-07,-1.56868,-0.000322347,1.56705,-0.785302,0.0069994,12.6761,0.0126458,0
0.0003,0.0,157,0.314,-7.74428e-07,0.0119844,2.65477e-07,-1.56855,-0.000322616,1.567,-0.785302,0.00701022,12.6775,0.0127707,0
0.0003,0.0,158,0.316,-7.79402e-07,0.0120809,2.79004e-07,-1.56842,-0.00032288,1.56696,-0.785302,0.00702093,12.6789,0.0128975,0
0.0003,0.0,159,0.318,-7.84649e-07,0.0121781,2.92449e-07,-1.56829,-0.000323137,1.56691,-0.785302,0.00703156,12.6803,0.0130262,0
0.0003,0.0,160,0.32,-7.90171e-07,0.0122761,3.05809e-07,-1.56816,-0.00032339,1.56687,-0.785302,0.0070421,12.6817,0.0131568,0
0.0003,0.0,161,0.322,-7.9597e-07,0.0123747,3.19081e-07,-1.56803,-0.000323637,1.56682,-0.785302,0.00705255,12.6831,0.0132894,0
0.0003,0.0,162,0.324,-8.02048e-07,0.012474,3.32265e-07,-1.56789,-0.000323879,1.56678,-0.785302,0.00706292,12.6846,0.0134239,0
0.0003,0.0,163,0.326,-8.08407e-07,0.012574,3.45356e-07,-1.56776,-0.000324115,1.56673,-0.785302,0.0070732,12.686,0.0135603,0
0.0003,0.0,164,0.328,-8.15048e-07,0.0126748,3.58354e-07,-1.56762,-0.000324347,1.56669,-0.785302,0.00708341,12.6875,0.0136987,0
0.0003,0.0,165,0.33,-8.21973e-07,0.0127762,3.71256e-07,-1.56748,-0.000324574,1.56664,-0.785302,0.00709353,12.689,0.013839,0
0.0003,0.0,166,0.332,-8.29182e-07,0.0128784,3.84061e-07,-1.56734,-0.000324796,1.56659,-0.785302,0.00710358,12.6905,0.0139813,0
0.0003,0.0,167,0.334,-8.36678e-07,0.0129813,3.96766e-07,-1.5672,-0.000325013,1.56655,-0.785302,0.00711355,12.692,0.0141255,0
0.0003,0.0,168,0.336,-8.4446e-07,0.0130849,4.09371e-07,-1.56706,-0.000325226,1.5665,-0.785302,0.00712345,12.6935,0.0142716,0
